,codici_comune,res_01000300,res_01000401,res_01000402,res_01000403,res_01000404,res_01000501,res_01000502,res_01000503,res_01000601,res_01000602,res_01000700,res_01000801,res_01000802,res_01000901,res_01000902,res_01001000,res_01001100,res_01001200,res_01001300,res_01001700,res_01001901,res_01001903,res_01002301,res_01002302,res_01002303,res_01002304,res_01002601,res_01002602,res_01002603,res_01002604,res_01002605,res_01002606,res_01002701,res_01002702,res_01003001,res_01003002,res_01003003,res_01007901,res_01007902,res_01007903,res_01007904,res_01007905,res_01008500,res_01012001,res_01012002,res_01012401,res_01012402,res_01012601,res_01012602,res_01061000,res_01061100,res_01061200,res_01061300,res_01061400,res_01061500,res_01061600,res_01061700,res_01061800,res_01062000,res_01062100,res_01062200,res_01062300,res_01062600,res_01062700,res_01062800,res_01062900,res_01063000,res_01063100,res_01063200,res_01063300,res_01063400,res_01063500,res_01063900,res_01064000,res_01064100,res_01064200,res_01064300,res_01064400,res_01064600,res_01064700,res_01064800,res_01064900,res_01065100,res_01065300,res_01065400,res_01065500,res_01065600,res_01065700,res_01066100,res_01088200,res_01089000,res_01089100,res_01089200,res_01089300,res_01089700,res_01089800,res_01090101,res_01090102,res_01090104,res_01090201,res_01090203,res_01090301,res_01090302,res_01090400,res_01090501,res_01090502,res_01090600,res_01090701,res_01090702,res_01090703,res_01090800,res_01090901,res_01090904,res_01090907,res_01092000,res_01092100
91,1219,107,8,34,14,6,0,0,0,1,0,78,19,1,1,0,93,53,130,19,14,16,2,6,6,0,0,2,0,0,3,0,1,2,0,34,2,0,2031,19,393,65,53,3,5,0,5,2,4,1,63,102,79,7,22,17,8,25,66,3,84,18,39,3,1,4,1,0,0,38,9,0,2,3,6,7,20,0,10,39,0,13,3,54,22,2,166,0,6,2,169,3,17,101,10,113,5,478,50,4,152,58,240,158,748,9,1,21,3,0,0,264,0,0,0,5,6
92,3018,0,0,0,0,0,0,0,0,6,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,12,0,1,0,0,0,0,0,0,2,2
93,4203,3,0,0,9,0,0,0,0,0,0,0,3,0,0,0,9,3,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,82,0,17,0,0,1,1,0,0,0,1,6,3,2,7,608,967,4,6,6,0,2,0,4,2,5,1,0,0,0,2,0,0,0,0,10,86,1,6,0,0,2,0,4,0,0,0,22,1,0,0,6,0,5,0,0,1,14,2,0,0,0,1,0,27,2,0,7,1,16,37,9,2,0,455,4,4,0,13,0,0,0,0,0
94,4077,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
95,103072,0,0,2,0,0,431,2330,778,52,26,1,0,0,25,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,3,0,0,0,0,0,1,0,3,0,0,14,5,2,1,0,0,0,20,2,58,254,0,0,0,0,0,0,0,3,0,0,6,0,0,1,0,31,0,0,0,0,2,0,0,0,0,10,1,0,0,0,8,0,0,5,0,4,21,1,234,9,1,8,2,0,3,0,0,0,205,57
96,5053,0,7,3,1,0,0,0,0,0,0,0,103,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,4,0,16,0,0,6,0,5,5,9,1,0,0,0,5,0,2,0,0,0,0,1
97,1097,2,2,5,1,3,0,0,0,0,0,3,2,0,0,1,18,6,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,357,14,24,26,0,3,1,0,1,1,1,0,0,3,1,5,16,14,2,5,6,0,4,10,2,15,1,0,2,0,1,0,0,0,13,0,0,4,0,1,1,2,0,0,2,0,0,0,8,3,0,23,0,2,0,34,1,0,6,0,6,0,68,4,0,27,1,20,26,114,0,0,7,0,0,0,43,0,0,0,0,1
98,3036,0,0,0,0,0,0,0,0,21,6,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,9,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,26,0,1,0,0,1,0,0,0,1,13
99,5002,2,14,3,1,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,1,1,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0
100,4138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
